epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,4105.78,0.6423,0.4,0.90596,0.96441,0.81801,0.87433,0.72842,0.68956,0.37764,0.93338,0.0053272,0.0053272,0.0053272
120,4137.78,0.63821,0.4003,0.90557,0.9605,0.82354,0.87577,0.73088,0.68905,0.37925,0.934,0.0052876,0.0052876,0.0052876
121,4169.87,0.63889,0.40113,0.90435,0.95779,0.82511,0.87583,0.73194,0.68889,0.38034,0.93428,0.005248,0.005248,0.005248
122,4202.11,0.63731,0.3991,0.90411,0.96399,0.81987,0.8753,0.73075,0.68683,0.37833,0.93357,0.0052084,0.0052084,0.0052084
123,4233.56,0.6355,0.39973,0.90577,0.96731,0.8201,0.8769,0.73135,0.68967,0.37814,0.93563,0.0051688,0.0051688,0.0051688
124,4265.05,0.6332,0.39562,0.90196,0.96316,0.82634,0.87877,0.73306,0.68749,0.37626,0.93552,0.0051292,0.0051292,0.0051292
125,4297.85,0.63264,0.39365,0.90376,0.95614,0.82899,0.87893,0.73223,0.68766,0.3749,0.93471,0.0050896,0.0050896,0.0050896
126,4330.56,0.63208,0.39469,0.90149,0.9633,0.82329,0.87828,0.73357,0.68563,0.37384,0.93317,0.00505,0.00505,0.00505
127,4363.38,0.63027,0.39007,0.90023,0.96268,0.82647,0.87719,0.73249,0.686,0.37422,0.9336,0.0050104,0.0050104,0.0050104
128,4396.12,0.6257,0.38963,0.89959,0.96506,0.82482,0.8786,0.73326,0.68443,0.37366,0.93458,0.0049708,0.0049708,0.0049708
129,4429.96,0.6244,0.38799,0.89756,0.9601,0.82623,0.876,0.73105,0.68389,0.37427,0.93394,0.0049312,0.0049312,0.0049312
130,4465.36,0.62411,0.38923,0.8955,0.9607,0.82862,0.87763,0.73314,0.68197,0.37317,0.93168,0.0048916,0.0048916,0.0048916
131,4501.43,0.62574,0.39157,0.89951,0.96255,0.82548,0.87905,0.733,0.68155,0.37172,0.93257,0.004852,0.004852,0.004852
132,4537.47,0.62494,0.38975,0.89819,0.96404,0.8262,0.87857,0.73255,0.68379,0.37275,0.93371,0.0048124,0.0048124,0.0048124
133,4572.73,0.62049,0.3852,0.90021,0.96147,0.82665,0.87677,0.73367,0.68162,0.37281,0.93356,0.0047728,0.0047728,0.0047728
134,4608.85,0.61927,0.38531,0.89611,0.95873,0.82838,0.87775,0.73308,0.6826,0.37312,0.93637,0.0047332,0.0047332,0.0047332
135,4644.04,0.61896,0.38589,0.89758,0.95676,0.82763,0.87691,0.73218,0.68477,0.37389,0.93639,0.0046936,0.0046936,0.0046936
136,4679.74,0.6164,0.38348,0.89444,0.9608,0.82497,0.87769,0.73247,0.68364,0.37301,0.93462,0.004654,0.004654,0.004654
137,4715.9,0.61532,0.38246,0.89453,0.96055,0.8269,0.87783,0.73456,0.68045,0.37253,0.93331,0.0046144,0.0046144,0.0046144
138,4751.58,0.61177,0.38164,0.89269,0.95938,0.82713,0.87803,0.73235,0.68101,0.37175,0.93289,0.0045748,0.0045748,0.0045748
139,4787.32,0.61221,0.38023,0.89595,0.96213,0.82574,0.8785,0.73293,0.6813,0.37151,0.93344,0.0045352,0.0045352,0.0045352
140,4822.89,0.61026,0.38054,0.89516,0.96311,0.8234,0.87886,0.73322,0.68108,0.37102,0.93216,0.0044956,0.0044956,0.0044956
